hash_for_invoice,invoice_no,item_identifier,package_identifier,service_identifier,installment_identifier,hsn_sac_identifier,tax_identifier,serial_number,item_code,description,category,brand,quantity,unit_price,mrp,line_total,discount_percentage,discount_amount,bank_discount_Amout,tax_percentage,tax_amount,gst_percentage,gst_amount,cgst_percentage,cgst_amount,sgst_percentage,sgst_amount,igst_percentage,igst_amount,vat_percentage,vat_amount,cess,net_amount,gross_amount,charge_type,charge_description,charge_amount,charge_rate,charge_percentage
c7634722815d7f16a4668d0b52f3038b,00000001,,,,,64041190,,,,"Trekerstar AXNU Sports Shoes,Grey, Brand size 8,469585104003",,,1.0,2999.16,4599.0,2949.00,,500.0,0.0,,449.84,,,9.00,224.92,9.00,224.92,0.00,0.00,,,0.00,2499.16,,,,,,
c7634722815d7f16a4668d0b52f3038b,00000001,,,,,996819,,,,Convenience Fee,,,,,,48.00,,,,,7.32,,,9.00,3.66,9.00,3.66,0.00,0.00,,,0.00,40.68,,,,,,
